Date,Close
10/1/2012 16:00:00,46.72
10/2/2012 16:00:00,46.92
10/3/2012 16:00:00,46.43
10/4/2012 16:00:00,46.63
10/5/2012 16:00:00,46.72
10/8/2012 16:00:00,46.66
10/9/2012 16:00:00,46.11
10/10/2012 16:00:00,45.61
10/11/2012 16:00:00,45.43
10/12/2012 16:00:00,46.05
10/15/2012 16:00:00,46.54
10/16/2012 16:00:00,47.42
10/17/2012 16:00:00,41.15
10/18/2012 16:00:00,41.42
10/19/2012 16:00:00,41.72
10/22/2012 16:00:00,42.22
10/23/2012 16:00:00,42.85
10/24/2012 16:00:00,44.08
10/25/2012 16:00:00,45.3
10/26/2012 16:00:00,44.27
10/31/2012 16:00:00,44.52
11/1/2012 16:00:00,45.46
11/2/2012 16:00:00,44.9
11/5/2012 16:00:00,44.6
11/6/2012 16:00:00,45.28
11/7/2012 16:00:00,44.32
11/8/2012 16:00:00,44.11
11/9/2012 16:00:00,44.34
11/12/2012 16:00:00,44.59
11/13/2012 16:00:00,44.27
11/14/2012 16:00:00,44.23
11/15/2012 16:00:00,44.04
11/16/2012 16:00:00,43.67
11/19/2012 16:00:00,44.86
11/20/2012 16:00:00,45.22
11/21/2012 16:00:00,45.5
11/23/2012 16:00:00,46.01
11/26/2012 16:00:00,46.13
11/27/2012 16:00:00,45.51
11/28/2012 16:00:00,45.82
11/29/2012 16:00:00,45.59
11/30/2012 16:00:00,46.17
12/3/2012 16:00:00,45.84
12/4/2012 16:00:00,45.16
12/5/2012 16:00:00,44.71
12/6/2012 16:00:00,45.04
12/7/2012 16:00:00,46.33
12/10/2012 16:00:00,46.37
12/11/2012 16:00:00,46.73
12/12/2012 16:00:00,46.41
12/13/2012 16:00:00,46.53
12/14/2012 16:00:00,46.74
12/17/2012 16:00:00,46.43
12/18/2012 16:00:00,47.13
12/19/2012 16:00:00,47.72
12/20/2012 16:00:00,48.03
12/21/2012 16:00:00,47.55
12/24/2012 16:00:00,47.52
12/26/2012 16:00:00,47.43
12/27/2012 16:00:00,47.26
12/28/2012 16:00:00,47.07
12/31/2012 16:00:00,47.64
1/2/2013 16:00:00,49.24
1/3/2013 16:00:00,47.18
1/4/2013 16:00:00,46.84
1/7/2013 16:00:00,47.2
1/8/2013 16:00:00,48.22
1/9/2013 16:00:00,48.89
1/10/2013 16:00:00,49.29
1/11/2013 16:00:00,48.46
1/14/2013 16:00:00,48.15
1/15/2013 16:00:00,48.29
1/16/2013 16:00:00,49.18
1/17/2013 16:00:00,49.17
1/18/2013 16:00:00,48.12
1/22/2013 16:00:00,47.97
1/23/2013 16:00:00,48.66
1/24/2013 16:00:00,49.01
1/25/2013 16:00:00,49.34
1/28/2013 16:00:00,49.34
1/29/2013 16:00:00,48.76
1/30/2013 16:00:00,48.54
1/31/2013 16:00:00,50
2/1/2013 16:00:00,50.98
2/4/2013 16:00:00,50.23
2/5/2013 16:00:00,50.81
2/6/2013 16:00:00,51.05
2/7/2013 16:00:00,50.79
2/8/2013 16:00:00,51.66
2/11/2013 16:00:00,51.07
2/12/2013 16:00:00,51.77
2/13/2013 16:00:00,51.43
2/14/2013 16:00:00,51.27
2/15/2013 16:00:00,51.36
2/19/2013 16:00:00,51.88
2/20/2013 16:00:00,51.65
2/21/2013 16:00:00,51.01
2/22/2013 16:00:00,52.23
2/25/2013 16:00:00,51.94
2/26/2013 16:00:00,52.04
2/27/2013 16:00:00,52.72
2/28/2013 16:00:00,52.51
3/1/2013 16:00:00,51.84
3/4/2013 16:00:00,51.6
3/5/2013 16:00:00,51.75
3/6/2013 16:00:00,51.74
3/7/2013 16:00:00,51.25
3/8/2013 16:00:00,51.23
3/11/2013 16:00:00,50.93
3/12/2013 16:00:00,50.91
3/13/2013 16:00:00,50.87
3/14/2013 16:00:00,50.43
3/15/2013 16:00:00,50.1
3/18/2013 16:00:00,49.57
3/19/2013 16:00:00,49.11
3/20/2013 16:00:00,49.66
3/21/2013 16:00:00,49.45
3/22/2013 16:00:00,48.89
3/25/2013 16:00:00,47.17
3/26/2013 16:00:00,46.5
3/27/2013 16:00:00,47.24
3/28/2013 16:00:00,46.99
4/1/2013 16:00:00,46.22
4/2/2013 16:00:00,45.7
4/3/2013 16:00:00,45.26
4/4/2013 16:00:00,45.63
4/5/2013 16:00:00,46.26
4/8/2013 16:00:00,46.22
4/9/2013 16:00:00,47.49
4/10/2013 16:00:00,47.56
4/11/2013 16:00:00,47.29
4/12/2013 16:00:00,46.55
4/15/2013 16:00:00,45.74
4/16/2013 16:00:00,45.95
